week,variable,share,control_share,relative_to_203_non_college_in_same_state
2020-03-12T00:00:00Z,cases,1.7888690372904584e-5,1.2108282721246647e-5,1.477392854522214
2020-03-12T00:00:00Z,deaths,1.3089285638710672e-7,9.172941455489883e-8,1.4269452936360898
2020-03-19T00:00:00Z,cases,1.1143345173755685e-4,1.0365423844703568e-4,1.075049640102234
2020-03-19T00:00:00Z,deaths,1.7016071330323874e-6,1.330076511046033e-6,1.2793302632599426
2020-03-26T00:00:00Z,cases,2.515760699760191e-4,2.897732205789254e-4,0.8681826066377222
2020-03-26T00:00:00Z,deaths,5.846547585290767e-6,7.2007590425595585e-6,0.8119349016867772
2020-04-02T00:00:00Z,cases,4.031063667201597e-4,5.076305801468102e-4,0.7940939385558267
2020-04-02T00:00:00Z,deaths,1.1213154697162143e-5,1.8391747618257216e-5,0.6096840240473401
2020-04-09T00:00:00Z,cases,3.8163993827267415e-4,4.765801733199769e-4,0.8007885338873305
2020-04-09T00:00:00Z,deaths,1.8412261798453012e-5,2.435415956432564e-5,0.7560212352974638
2020-04-16T00:00:00Z,cases,4.4032356888622703e-4,5.433133224086659e-4,0.8104413249690706
2020-04-16T00:00:00Z,deaths,2.2339047490066215e-5,2.8160930268353945e-5,0.793263833161431
2020-04-23T00:00:00Z,cases,4.4259237839693684e-4,4.931831973544136e-4,0.8974198244610492
2020-04-23T00:00:00Z,deaths,2.8534642692389266e-5,3.0270706803116618e-5,0.9426487091292955
2020-04-30T00:00:00Z,cases,4.534564854770667e-4,5.451479106997638e-4,0.8318045003511066
2020-04-30T00:00:00Z,deaths,2.3822499862453424e-5,3.0591759754058764e-5,0.7787227689408346
2020-05-07T00:00:00Z,cases,4.005757714966756e-4,4.2314778934174834e-4,0.9466568929021562
2020-05-07T00:00:00Z,deaths,2.0768333213420935e-5,2.8298524390186292e-5,0.7339016313028404
2020-05-14T00:00:00Z,cases,3.8844636680480374e-4,3.9989438275208147e-4,0.9713724012113092
2020-05-14T00:00:00Z,deaths,1.6405238000517375e-5,2.453761839343544e-5,0.6685749911615821
2020-05-21T00:00:00Z,cases,3.5991172411241443e-4,3.7645751733330485e-4,0.9560487107865581
2020-05-21T00:00:00Z,deaths,1.2696607069549352e-5,1.6373700498049443e-5,0.7754268542448218
2020-05-28T00:00:00Z,cases,3.687688073946087e-4,3.591665226897064e-4,1.0267349101274619
2020-05-28T00:00:00Z,deaths,1.5401726101549557e-5,1.8575206447367015e-5,0.829155043051094
2020-06-04T00:00:00Z,cases,3.6235505743164047e-4,3.80356017451888e-4,0.9526733923106014
2020-06-04T00:00:00Z,deaths,1.0078749941807218e-5,1.19706885994143e-5,0.8419523954787655
2020-06-11T00:00:00Z,cases,4.4442487838635634e-4,3.95353776731614e-4,1.1241194710732567
2020-06-11T00:00:00Z,deaths,7.853571383226404e-6,1.0915800332032961e-5,0.7194682152787008
2020-06-18T00:00:00Z,cases,5.86225472805722e-4,5.356080515860544e-4,1.0945045935545186
2020-06-18T00:00:00Z,deaths,7.98446423961351e-6,9.035347333657535e-6,0.8836920092568677
2020-06-25T00:00:00Z,cases,8.124083286426424e-4,7.70297758724763e-4,1.0546679117794577
2020-06-25T00:00:00Z,deaths,6.457380915097265e-6,8.439106139050694e-6,0.765173563254135
2020-07-02T00:00:00Z,cases,9.365820184018776e-4,9.726069825255923e-4,0.9629604097328524
2020-07-02T00:00:00Z,deaths,7.155476149161834e-6,9.264670870044783e-6,0.7723400269185435
2020-07-09T00:00:00Z,cases,0.0010673876128847262,0.0011815207241743745,0.9034015155600402
2020-07-09T00:00:00Z,deaths,7.19910710129087e-6,9.769182650096727e-6,0.7369201046946942
2020-07-16T00:00:00Z,cases,0.0010798660651936305,0.0012366501023218688,0.8732187570001662
2020-07-16T00:00:00Z,deaths,9.555178516258791e-6,1.3713547475957376e-5,0.6967692738156157
2020-07-23T00:00:00Z,cases,0.0010886795175236957,0.0012424749201461048,0.8762185053970152
2020-07-23T00:00:00Z,deaths,1.3351071351484886e-5,1.830001820370232e-5,0.7295660147913842
2020-07-30T00:00:00Z,cases,9.82350887185236e-4,0.0010923138685197354,0.8993302341903638
2020-07-30T00:00:00Z,deaths,1.4310952298323668e-5,1.7703777009095476e-5,0.8083558830960923
2020-08-06T00:00:00Z,cases,8.945217805494874e-4,0.00105860330867081,0.8450018748502264
2020-08-06T00:00:00Z,deaths,1.3394702303613921e-5,1.903385352014151e-5,0.703730450034184
2020-08-13T00:00:00Z,cases,8.086560667595453e-4,9.32154310706882e-4,0.8675130903447905
2020-08-13T00:00:00Z,deaths,1.2652976117420317e-5,1.4447382792396567e-5,0.8757971114380233
2020-08-20T00:00:00Z,cases,0.0010673876128847262,8.047421538901275e-4,1.3263721898063487
2020-08-20T00:00:00Z,deaths,1.3263809447226814e-5,1.641956520532689e-5,0.8078051569187548
2020-08-27T00:00:00Z,cases,0.0014190530870447531,8.177218660496457e-4,1.7353737816748063
2020-08-27T00:00:00Z,deaths,1.2347559452517067e-5,1.4401518085119117e-5,0.8573790193184998
2020-09-03T00:00:00Z,cases,0.0015016464794250174,7.39889457799814e-4,2.029555176918477
2020-09-03T00:00:00Z,deaths,1.0035118989678182e-5,1.4584976914228916e-5,0.6880449004953891
2020-09-10T00:00:00Z,cases,0.0014860702295149517,7.479157815733677e-4,1.9869486192532946
2020-09-10T00:00:00Z,deaths,1.3831011824904276e-5,1.664888874171414e-5,0.8307468468000742
2020-09-17T00:00:00Z,cases,0.001416653384677656,9.230272339586696e-4,1.5347904509836916
2020-09-17T00:00:00Z,deaths,1.3831011824904276e-5,1.4676706328783813e-5,0.9423784543388343
2020-09-24T00:00:00Z,cases,0.0013891658848363636,9.535272642981734e-4,1.456870649481464
2020-09-24T00:00:00Z,deaths,1.3918273729162348e-5,1.3621818061402477e-5,1.021763296677694
2020-10-01T00:00:00Z,cases,0.0013758148134848788,0.0010506228496045338,1.309523026272226
2020-10-01T00:00:00Z,deaths,1.2696607069549352e-5,1.4401518085119117e-5,0.8816158820554185
2020-10-08T00:00:00Z,cases,0.0014940110628024362,0.0012950358746860618,1.1536445375805586
2020-10-08T00:00:00Z,deaths,1.2783868973807424e-5,1.6786482863546488e-5,0.7615573242902992
2020-10-15T00:00:00Z,cases,0.0016242494549076074,0.0015938444425986449,1.0190765243434858
2020-10-15T00:00:00Z,deaths,1.518357134090438e-5,1.8621071154644463e-5,0.8153973106491942
2020-10-22T00:00:00Z,cases,0.0018478580845689146,0.0017801010188523668,1.0380636070644074
2020-10-22T00:00:00Z,deaths,1.727785704309809e-5,1.9354906471083655e-5,0.8926861552604922
2020-10-29T00:00:00Z,cases,0.0024396683192471533,0.002581953696184015,0.944892359166955
2020-10-29T00:00:00Z,deaths,2.316803558051789e-5,2.288648893144726e-5,1.0123018716376269
2020-11-05T00:00:00Z,cases,0.003220967779021793,0.0032465333046342573,0.992125284661035
2020-11-05T00:00:00Z,deaths,2.129190463896936e-5,2.7977471439244146e-5,0.7610374899392478
2020-11-12T00:00:00Z,cases,0.0039089842631445555,0.004134519902232956,0.9454505856976058
2020-11-12T00:00:00Z,deaths,2.6833035559356876e-05,3.1188000948665605e-5,0.8603640741041129
2020-11-19T00:00:00Z,cases,0.003963610215210108,0.00419125454513516,0.945685873412465
2020-11-19T00:00:00Z,deaths,3.350857123509932e-5,4.375493074268675e-5,0.7658238892470418
2020-11-26T00:00:00Z,cases,0.0032866759929281206,0.0037238014485633957,0.8826131141326254
2020-11-26T00:00:00Z,deaths,3.193785695845404e-5,4.3296283669912254e-5,0.7376581602695039
2020-12-03T00:00:00Z,cases,0.003931105155873976,0.004576518086265736,0.8589729313364536
2020-12-03T00:00:00Z,deaths,4.3630952129035574e-5,5.54962958057138e-5,0.7861957540694708
2020-12-10T00:00:00Z,cases,0.0030900749226346865,0.0036003795212797792,0.8582636648083973
2020-12-10T00:00:00Z,deaths,4.1929344996003185e-5,4.5268466082842576e-5,0.9262373706074178
